warning: `VIRTUAL_ENV=/opt/homebrew/opt/python@3.13/Frameworks/Python.framework/Versions/3.13` does not match the project environment path `.venv` and will be ignored; use `--active` to target the active environment instead
Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 4,194,304
  lm_head                 : 2,097,152
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 11,534,472
Estimated FLOPs per token: 5.662387e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.010973 | lrm: 1.00 | dt: 1080ms | tok/sec: 30,342 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.083334 | lrm: 1.00 | dt: 575ms | tok/sec: 56,992 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.033645 | lrm: 1.00 | dt: 569ms | tok/sec: 57,626 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.786590 | lrm: 1.00 | dt: 558ms | tok/sec: 58,698 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.504376 | lrm: 1.00 | dt: 550ms | tok/sec: 59,617 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.285370 | lrm: 1.00 | dt: 550ms | tok/sec: 59,572 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.100784 | lrm: 1.00 | dt: 548ms | tok/sec: 59,780 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.942751 | lrm: 1.00 | dt: 548ms | tok/sec: 59,767 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.797296 | lrm: 1.00 | dt: 556ms | tok/sec: 58,884 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.657814 | lrm: 1.00 | dt: 573ms | tok/sec: 57,145 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.530397 | lrm: 1.00 | dt: 574ms | tok/sec: 57,069 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.398400 | lrm: 1.00 | dt: 552ms | tok/sec: 59,344 | mfu: 0.3% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 7.283058 | lrm: 1.00 | dt: 583ms | tok/sec: 56,213 | mfu: 0.3% | epoch: 1 | remaining: 299s    
step 00013 (0.4%) | loss: 7.173245 | lrm: 1.00 | dt: 634ms | tok/sec: 51,652 | mfu: 0.3% | epoch: 1 | remaining: 298s    
step 00014 (0.6%) | loss: 7.066883 | lrm: 1.00 | dt: 631ms | tok/sec: 51,923 | mfu: 0.3% | epoch: 1 | remaining: 298s    
step 00015 (0.8%) | loss: 6.974352 | lrm: 1.00 | dt: 637ms | tok/sec: 51,475 | mfu: 0.3% | epoch: 1 | remaining: 297s    
step 00016 (1.0%) | loss: 6.883756 | lrm: 1.00 | dt: 656ms | tok/sec: 49,974 | mfu: 0.3% | epoch: 1 | remaining: 296s    
step 00017 (1.2%) | loss: 6.803988 | lrm: 1.00 | dt: 646ms | tok/sec: 50,728 | mfu: 0.3% | epoch: 1 | remaining: 296s    
step 00018 (1.4%) | loss: 6.736793 | lrm: 1.00 | dt: 632ms | tok/sec: 51,837 | mfu: 0.3% | epoch: 1 | remaining: 295s    
step 00019 (1.7%) | loss: 6.661347 | lrm: 1.00 | dt: 632ms | tok/sec: 51,886 | mfu: 0.3% | epoch: 1 | remaining: 294s    
step 00020 (1.9%) | loss: 6.605637 | lrm: 1.00 | dt: 652ms | tok/sec: 50,234 | mfu: 0.3% | epoch: 1 | remaining: 294s    
step 00021 (2.1%) | loss: 6.537631 | lrm: 1.00 | dt: 635ms | tok/sec: 51,583 | mfu: 0.3% | epoch: 1 | remaining: 293s    
step 00022 (2.3%) | loss: 6.488944 | lrm: 1.00 | dt: 657ms | tok/sec: 49,900 | mfu: 0.3% | epoch: 1 | remaining: 292s    
step 00023 (2.5%) | loss: 6.435068 | lrm: 1.00 | dt: 617ms | tok/sec: 53,096 | mfu: 0.3% | epoch: 1 | remaining: 292s    
step 00024 (2.7%) | loss: 6.386997 | lrm: 1.00 | dt: 656ms | tok/sec: 49,931 | mfu: 0.3% | epoch: 1 | remaining: 291s    
step 00025 (2.9%) | loss: 6.340872 | lrm: 1.00 | dt: 645ms | tok/sec: 50,780 | mfu: 0.3% | epoch: 1 | remaining: 291s    
step 00026 (3.2%) | loss: 6.292072 | lrm: 1.00 | dt: 647ms | tok/sec: 50,672 | mfu: 0.3% | epoch: 1 | remaining: 290s    
step 00027 (3.4%) | loss: 6.262291 | lrm: 1.00 | dt: 632ms | tok/sec: 51,851 | mfu: 0.3% | epoch: 1 | remaining: 289s    
step 00028 (3.6%) | loss: 6.218577 | lrm: 1.00 | dt: 630ms | tok/sec: 51,973 | mfu: 0.3% | epoch: 1 | remaining: 289s    
step 00029 (3.8%) | loss: 6.184314 | lrm: 1.00 | dt: 636ms | tok/sec: 51,493 | mfu: 0.3% | epoch: 1 | remaining: 288s    
step 00030 (4.0%) | loss: 6.155346 | lrm: 1.00 | dt: 623ms | tok/sec: 52,572 | mfu: 0.3% | epoch: 1 | remaining: 287s    
step 00031 (4.2%) | loss: 6.123142 | lrm: 1.00 | dt: 654ms | tok/sec: 50,080 | mfu: 0.3% | epoch: 1 | remaining: 287s    
step 00032 (4.4%) | loss: 6.092787 | lrm: 1.00 | dt: 681ms | tok/sec: 48,147 | mfu: 0.3% | epoch: 1 | remaining: 286s    
step 00033 (4.7%) | loss: 6.065310 | lrm: 1.00 | dt: 622ms | tok/sec: 52,674 | mfu: 0.3% | epoch: 1 | remaining: 285s    
step 00034 (4.9%) | loss: 6.038105 | lrm: 1.00 | dt: 715ms | tok/sec: 45,827 | mfu: 0.3% | epoch: 1 | remaining: 285s    
step 00035 (5.1%) | loss: 6.014358 | lrm: 1.00 | dt: 652ms | tok/sec: 50,277 | mfu: 0.3% | epoch: 1 | remaining: 284s    
step 00036 (5.3%) | loss: 5.985817 | lrm: 1.00 | dt: 638ms | tok/sec: 51,396 | mfu: 0.3% | epoch: 1 | remaining: 283s    
step 00037 (5.5%) | loss: 5.971996 | lrm: 1.00 | dt: 643ms | tok/sec: 50,970 | mfu: 0.3% | epoch: 1 | remaining: 283s    
step 00038 (5.7%) | loss: 5.950220 | lrm: 1.00 | dt: 622ms | tok/sec: 52,645 | mfu: 0.3% | epoch: 1 | remaining: 282s    
step 00039 (6.0%) | loss: 5.926384 | lrm: 1.00 | dt: 637ms | tok/sec: 51,404 | mfu: 0.3% | epoch: 1 | remaining: 282s    
step 00040 (6.2%) | loss: 5.908945 | lrm: 1.00 | dt: 632ms | tok/sec: 51,835 | mfu: 0.3% | epoch: 1 | remaining: 281s    
step 00041 (6.4%) | loss: 5.886374 | lrm: 1.00 | dt: 638ms | tok/sec: 51,327 | mfu: 0.3% | epoch: 1 | remaining: 280s    
step 00042 (6.6%) | loss: 5.868731 | lrm: 1.00 | dt: 636ms | tok/sec: 51,539 | mfu: 0.3% | epoch: 1 | remaining: 280s    
step 00043 (6.8%) | loss: 5.845840 | lrm: 1.00 | dt: 633ms | tok/sec: 51,777 | mfu: 0.3% | epoch: 1 | remaining: 279s    
step 00044 (7.0%) | loss: 5.822387 | lrm: 1.00 | dt: 637ms | tok/sec: 51,449 | mfu: 0.3% | epoch: 1 | remaining: 278s    
step 00045 (7.2%) | loss: 5.804731 | lrm: 1.00 | dt: 631ms | tok/sec: 51,892 | mfu: 0.3% | epoch: 1 | remaining: 278s    
step 00046 (7.4%) | loss: 5.778291 | lrm: 1.00 | dt: 634ms | tok/sec: 51,709 | mfu: 0.3% | epoch: 1 | remaining: 277s    
step 00047 (7.6%) | loss: 5.762108 | lrm: 1.00 | dt: 648ms | tok/sec: 50,602 | mfu: 0.3% | epoch: 1 | remaining: 276s    
step 00048 (7.9%) | loss: 5.744672 | lrm: 1.00 | dt: 637ms | tok/sec: 51,446 | mfu: 0.3% | epoch: 1 | remaining: 276s    
step 00049 (8.1%) | loss: 5.734217 | lrm: 1.00 | dt: 642ms | tok/sec: 51,045 | mfu: 0.3% | epoch: 1 | remaining: 275s    
step 00050 (8.3%) | loss: 5.714079 | lrm: 1.00 | dt: 643ms | tok/sec: 50,974 | mfu: 0.3% | epoch: 1 | remaining: 274s    
step 00051 (8.5%) | loss: 5.704386 | lrm: 1.00 | dt: 655ms | tok/sec: 50,018 | mfu: 0.3% | epoch: 1 | remaining: 274s    
step 00052 (8.7%) | loss: 5.693351 | lrm: 1.00 | dt: 624ms | tok/sec: 52,541 | mfu: 0.3% | epoch: 1 | remaining: 273s    
step 00053 (8.9%) | loss: 5.676862 | lrm: 1.00 | dt: 639ms | tok/sec: 51,308 | mfu: 0.3% | epoch: 1 | remaining: 273s    
step 00054 (9.1%) | loss: 5.659699 | lrm: 1.00 | dt: 632ms | tok/sec: 51,853 | mfu: 0.3% | epoch: 1 | remaining: 272s    
step 00055 (9.4%) | loss: 5.646299 | lrm: 1.00 | dt: 630ms | tok/sec: 51,979 | mfu: 0.3% | epoch: 1 | remaining: 271s    
step 00056 (9.6%) | loss: 5.629079 | lrm: 1.00 | dt: 635ms | tok/sec: 51,631 | mfu: 0.3% | epoch: 1 | remaining: 271s    
step 00057 (9.8%) | loss: 5.608727 | lrm: 1.00 | dt: 646ms | tok/sec: 50,702 | mfu: 0.3% | epoch: 1 | remaining: 270s    
step 00058 (10.0%) | loss: 5.605404 | lrm: 1.00 | dt: 638ms | tok/sec: 51,388 | mfu: 0.3% | epoch: 1 | remaining: 269s    
step 00059 (10.2%) | loss: 5.579465 | lrm: 1.00 | dt: 647ms | tok/sec: 50,683 | mfu: 0.3% | epoch: 1 | remaining: 269s    
step 00060 (10.4%) | loss: 5.567521 | lrm: 1.00 | dt: 645ms | tok/sec: 50,826 | mfu: 0.3% | epoch: 1 | remaining: 268s    
step 00061 (10.6%) | loss: 5.558697 | lrm: 1.00 | dt: 657ms | tok/sec: 49,887 | mfu: 0.3% | epoch: 1 | remaining: 267s    
step 00062 (10.9%) | loss: 5.546208 | lrm: 1.00 | dt: 647ms | tok/sec: 50,672 | mfu: 0.3% | epoch: 1 | remaining: 267s    
step 00063 (11.1%) | loss: 5.537332 | lrm: 1.00 | dt: 654ms | tok/sec: 50,106 | mfu: 0.3% | epoch: 1 | remaining: 266s    
step 00064 (11.3%) | loss: 5.522646 | lrm: 1.00 | dt: 653ms | tok/sec: 50,208 | mfu: 0.3% | epoch: 1 | remaining: 265s    
step 00065 (11.5%) | loss: 5.522003 | lrm: 1.00 | dt: 654ms | tok/sec: 50,133 | mfu: 0.3% | epoch: 1 | remaining: 265s    
step 00066 (11.7%) | loss: 5.508900 | lrm: 1.00 | dt: 637ms | tok/sec: 51,403 | mfu: 0.3% | epoch: 1 | remaining: 264s    
step 00067 (11.9%) | loss: 5.501218 | lrm: 1.00 | dt: 690ms | tok/sec: 47,509 | mfu: 0.3% | epoch: 1 | remaining: 264s    
step 00068 (12.2%) | loss: 5.481460 | lrm: 1.00 | dt: 651ms | tok/sec: 50,341 | mfu: 0.3% | epoch: 1 | remaining: 263s    
step 00069 (12.4%) | loss: 5.471927 | lrm: 1.00 | dt: 663ms | tok/sec: 49,400 | mfu: 0.3% | epoch: 1 | remaining: 262s    
step 00070 (12.6%) | loss: 5.460183 | lrm: 1.00 | dt: 633ms | tok/sec: 51,739 | mfu: 0.3% | epoch: 1 | remaining: 262s    
step 00071 (12.8%) | loss: 5.441955 | lrm: 1.00 | dt: 685ms | tok/sec: 47,833 | mfu: 0.3% | epoch: 1 | remaining: 261s    
step 00072 (13.0%) | loss: 5.434965 | lrm: 1.00 | dt: 667ms | tok/sec: 49,099 | mfu: 0.3% | epoch: 1 | remaining: 260s    
step 00073 (13.3%) | loss: 5.419914 | lrm: 1.00 | dt: 656ms | tok/sec: 49,959 | mfu: 0.3% | epoch: 1 | remaining: 260s    
step 00074 (13.5%) | loss: 5.404944 | lrm: 1.00 | dt: 652ms | tok/sec: 50,231 | mfu: 0.3% | epoch: 1 | remaining: 259s    
step 00075 (13.7%) | loss: 5.392861 | lrm: 1.00 | dt: 661ms | tok/sec: 49,566 | mfu: 0.3% | epoch: 1 | remaining: 258s    
step 00076 (13.9%) | loss: 5.393655 | lrm: 1.00 | dt: 637ms | tok/sec: 51,461 | mfu: 0.3% | epoch: 1 | remaining: 258s    
step 00077 (14.1%) | loss: 5.376677 | lrm: 1.00 | dt: 648ms | tok/sec: 50,536 | mfu: 0.3% | epoch: 1 | remaining: 257s    
step 00078 (14.3%) | loss: 5.360728 | lrm: 1.00 | dt: 679ms | tok/sec: 48,255 | mfu: 0.3% | epoch: 1 | remaining: 256s    
step 00079 (14.6%) | loss: 5.343229 | lrm: 1.00 | dt: 649ms | tok/sec: 50,499 | mfu: 0.3% | epoch: 1 | remaining: 256s    
step 00080 (14.8%) | loss: 5.342743 | lrm: 1.00 | dt: 664ms | tok/sec: 49,325 | mfu: 0.3% | epoch: 1 | remaining: 255s    
step 00081 (15.0%) | loss: 5.334215 | lrm: 1.00 | dt: 656ms | tok/sec: 49,959 | mfu: 0.3% | epoch: 1 | remaining: 254s    
step 00082 (15.2%) | loss: 5.321257 | lrm: 1.00 | dt: 664ms | tok/sec: 49,320 | mfu: 0.3% | epoch: 1 | remaining: 254s    
step 00083 (15.5%) | loss: 5.317938 | lrm: 1.00 | dt: 668ms | tok/sec: 49,087 | mfu: 0.3% | epoch: 1 | remaining: 253s    
step 00084 (15.7%) | loss: 5.302801 | lrm: 1.00 | dt: 657ms | tok/sec: 49,875 | mfu: 0.3% | epoch: 1 | remaining: 252s    
step 00085 (15.9%) | loss: 5.299085 | lrm: 1.00 | dt: 649ms | tok/sec: 50,486 | mfu: 0.3% | epoch: 1 | remaining: 252s    
step 00086 (16.1%) | loss: 5.285386 | lrm: 1.00 | dt: 678ms | tok/sec: 48,295 | mfu: 0.3% | epoch: 1 | remaining: 251s    
step 00087 (16.3%) | loss: 5.288407 | lrm: 1.00 | dt: 670ms | tok/sec: 48,935 | mfu: 0.3% | epoch: 1 | remaining: 250s    
step 00088 (16.6%) | loss: 5.275145 | lrm: 1.00 | dt: 654ms | tok/sec: 50,133 | mfu: 0.3% | epoch: 1 | remaining: 250s    
step 00089 (16.8%) | loss: 5.273074 | lrm: 1.00 | dt: 643ms | tok/sec: 50,935 | mfu: 0.3% | epoch: 1 | remaining: 249s    
step 00090 (17.0%) | loss: 5.260601 | lrm: 1.00 | dt: 680ms | tok/sec: 48,181 | mfu: 0.3% | epoch: 1 | remaining: 248s    
step 00091 (17.2%) | loss: 5.248809 | lrm: 1.00 | dt: 645ms | tok/sec: 50,832 | mfu: 0.3% | epoch: 1 | remaining: 248s    
step 00092 (17.4%) | loss: 5.243997 | lrm: 1.00 | dt: 652ms | tok/sec: 50,271 | mfu: 0.3% | epoch: 1 | remaining: 247s    
step 00093 (17.7%) | loss: 5.237743 | lrm: 1.00 | dt: 661ms | tok/sec: 49,582 | mfu: 0.3% | epoch: 1 | remaining: 246s    
step 00094 (17.9%) | loss: 5.219756 | lrm: 1.00 | dt: 670ms | tok/sec: 48,879 | mfu: 0.3% | epoch: 1 | remaining: 246s    
step 00095 (18.1%) | loss: 5.209904 | lrm: 1.00 | dt: 670ms | tok/sec: 48,922 | mfu: 0.3% | epoch: 1 | remaining: 245s    
step 00096 (18.3%) | loss: 5.205325 | lrm: 1.00 | dt: 699ms | tok/sec: 46,907 | mfu: 0.3% | epoch: 1 | remaining: 244s    
step 00097 (18.6%) | loss: 5.184979 | lrm: 1.00 | dt: 654ms | tok/sec: 50,125 | mfu: 0.3% | epoch: 1 | remaining: 244s    
step 00098 (18.8%) | loss: 5.183344 | lrm: 1.00 | dt: 667ms | tok/sec: 49,097 | mfu: 0.3% | epoch: 1 | remaining: 243s    
step 00099 (19.0%) | loss: 5.170647 | lrm: 1.00 | dt: 642ms | tok/sec: 51,070 | mfu: 0.3% | epoch: 1 | remaining: 242s    
step 00100 (19.2%) | loss: 5.153052 | lrm: 1.00 | dt: 654ms | tok/sec: 50,080 | mfu: 0.3% | epoch: 1 | remaining: 242s    
step 00101 (19.4%) | loss: 5.141041 | lrm: 1.00 | dt: 665ms | tok/sec: 49,275 | mfu: 0.3% | epoch: 1 | remaining: 241s    
step 00102 (19.6%) | loss: 5.123649 | lrm: 1.00 | dt: 668ms | tok/sec: 49,044 | mfu: 0.3% | epoch: 1 | remaining: 240s    
step 00103 (19.9%) | loss: 5.107873 | lrm: 1.00 | dt: 666ms | tok/sec: 49,231 | mfu: 0.3% | epoch: 1 | remaining: 240s    
step 00104 (20.1%) | loss: 5.102383 | lrm: 1.00 | dt: 650ms | tok/sec: 50,413 | mfu: 0.3% | epoch: 1 | remaining: 239s    
step 00105 (20.3%) | loss: 5.096653 | lrm: 1.00 | dt: 663ms | tok/sec: 49,420 | mfu: 0.3% | epoch: 1 | remaining: 238s    
step 00106 (20.5%) | loss: 5.089712 | lrm: 1.00 | dt: 667ms | tok/sec: 49,157 | mfu: 0.3% | epoch: 1 | remaining: 238s    
step 00107 (20.7%) | loss: 5.076842 | lrm: 1.00 | dt: 650ms | tok/sec: 50,386 | mfu: 0.3% | epoch: 1 | remaining: 237s    
step 00108 (21.0%) | loss: 5.067090 | lrm: 1.00 | dt: 688ms | tok/sec: 47,628 | mfu: 0.3% | epoch: 1 | remaining: 236s    
step 00109 (21.2%) | loss: 5.069309 | lrm: 1.00 | dt: 662ms | tok/sec: 49,486 | mfu: 0.3% | epoch: 1 | remaining: 236s    
step 00110 (21.4%) | loss: 5.070094 | lrm: 1.00 | dt: 662ms | tok/sec: 49,511 | mfu: 0.3% | epoch: 1 | remaining: 235s    
step 00111 (21.6%) | loss: 5.058411 | lrm: 1.00 | dt: 669ms | tok/sec: 49,005 | mfu: 0.3% | epoch: 1 | remaining: 234s    
step 00112 (21.9%) | loss: 5.057279 | lrm: 1.00 | dt: 685ms | tok/sec: 47,835 | mfu: 0.3% | epoch: 1 | remaining: 234s    
